Taxon,site_name,block,BACI,group_var,time,trt
Achillea_millefolium,Agroscope Changins,1,-0.009999999999999995,quadrat,T0-T1,DIST
Achillea_millefolium,Agroscope Changins,2,-0.06,quadrat,T0-T1,DIST
Achillea_millefolium,Agroscope Changins,3,-1.3877787807814457e-17,quadrat,T0-T1,DIST
Achillea_millefolium,Agroscope Changins,4,-0.03,quadrat,T0-T1,DIST
Agrostis_capillaris,Agroscope Changins,3,0.09999999999999999,quadrat,T0-T1,DIST
Agrostis_capillaris,Agroscope Changins,4,0.010000000000000002,quadrat,T0-T1,DIST
Alopecurus_pratensis,Agroscope Changins,2,0.09000000000000002,quadrat,T0-T1,DIST
Alopecurus_pratensis,Agroscope Changins,3,-0.16499999999999998,quadrat,T0-T1,DIST
Alopecurus_pratensis,Agroscope Changins,4,0.023999999999999997,quadrat,T0-T1,DIST
Arrhenatherum_elatius,Agroscope Changins,3,0.014,quadrat,T0-T1,DIST
Arrhenatherum_elatius,Agroscope Changins,1,0.01,quadrat,T0-T1,DIST
Arrhenatherum_elatius,Agroscope Changins,2,0.01,quadrat,T0-T1,DIST
Arrhenatherum_elatius,Agroscope Changins,4,0,quadrat,T0-T1,DIST
Bromus_hordeaceus,Agroscope Changins,1,0.001,quadrat,T0-T1,DIST
Bromus_hordeaceus,Agroscope Changins,3,0.001,quadrat,T0-T1,DIST
Bromus_hordeaceus,Agroscope Changins,4,0.001,quadrat,T0-T1,DIST
Centaurea_jacea,Agroscope Changins,1,-0.02,quadrat,T0-T1,DIST
Centaurea_jacea,Agroscope Changins,2,-0.07400000000000001,quadrat,T0-T1,DIST
Centaurea_jacea,Agroscope Changins,4,-0.13,quadrat,T0-T1,DIST
Centaurea_jacea,Agroscope Changins,3,-0.005,quadrat,T0-T1,DIST
Cerastium_fontanum,Agroscope Changins,1,0.030000000000000002,quadrat,T0-T1,DIST
Cerastium_fontanum,Agroscope Changins,2,0.03,quadrat,T0-T1,DIST
Cerastium_fontanum,Agroscope Changins,3,0.005,quadrat,T0-T1,DIST
Cerastium_fontanum,Agroscope Changins,4,-0.005,quadrat,T0-T1,DIST
Convolvulus_arvensis,Agroscope Changins,1,-0.025,quadrat,T0-T1,DIST
Convolvulus_arvensis,Agroscope Changins,2,0,quadrat,T0-T1,DIST
Convolvulus_arvensis,Agroscope Changins,3,0.009000000000000001,quadrat,T0-T1,DIST
Convolvulus_arvensis,Agroscope Changins,4,0.015,quadrat,T0-T1,DIST
Crepis_biennis,Agroscope Changins,1,0.009999999999999988,quadrat,T0-T1,DIST
Crepis_biennis,Agroscope Changins,2,-0.08,quadrat,T0-T1,DIST
Crepis_biennis,Agroscope Changins,3,-0.019999999999999993,quadrat,T0-T1,DIST
Crepis_biennis,Agroscope Changins,4,-0.060000000000000005,quadrat,T0-T1,DIST
Dactylis_glomerata,Agroscope Changins,1,-0.015,quadrat,T0-T1,DIST
Dactylis_glomerata,Agroscope Changins,2,0.01,quadrat,T0-T1,DIST
Dactylis_glomerata,Agroscope Changins,3,-0.009000000000000001,quadrat,T0-T1,DIST
Dactylis_glomerata,Agroscope Changins,4,0.004,quadrat,T0-T1,DIST
Daucus_carota,Agroscope Changins,1,0.025,quadrat,T0-T1,DIST
Daucus_carota,Agroscope Changins,2,0,quadrat,T0-T1,DIST
Daucus_carota,Agroscope Changins,4,-0.020000000000000004,quadrat,T0-T1,DIST
Elymus_repens,Agroscope Changins,4,0.04,quadrat,T0-T1,DIST
Festuca_arundinacea,Agroscope Changins,1,-0.13,quadrat,T0-T1,DIST
Festuca_arundinacea,Agroscope Changins,2,-0.014999999999999998,quadrat,T0-T1,DIST
Festuca_arundinacea,Agroscope Changins,3,1.734723475976807e-18,quadrat,T0-T1,DIST
Festuca_arundinacea,Agroscope Changins,4,-0.03999999999999998,quadrat,T0-T1,DIST
Galium_album,Agroscope Changins,1,-0.01,quadrat,T0-T1,DIST
Galium_album,Agroscope Changins,4,-0.06,quadrat,T0-T1,DIST
Holcus_lanatus,Agroscope Changins,1,-0.12999999999999995,quadrat,T0-T1,DIST
Holcus_lanatus,Agroscope Changins,2,-0.05000000000000002,quadrat,T0-T1,DIST
Holcus_lanatus,Agroscope Changins,3,-0.21,quadrat,T0-T1,DIST
Holcus_lanatus,Agroscope Changins,4,-0.24,quadrat,T0-T1,DIST
Knautia_arvensis,Agroscope Changins,2,-0.01,quadrat,T0-T1,DIST
Lolium_perenne,Agroscope Changins,3,-0.01,quadrat,T0-T1,DIST
Lolium_perenne,Agroscope Changins,4,-0.005,quadrat,T0-T1,DIST
Lolium_perenne,Agroscope Changins,2,0.005,quadrat,T0-T1,DIST
Lotus_corniculatus,Agroscope Changins,1,-0.05,quadrat,T0-T1,DIST
Lotus_corniculatus,Agroscope Changins,2,-0.015000000000000013,quadrat,T0-T1,DIST
Lotus_corniculatus,Agroscope Changins,3,-0.024999999999999994,quadrat,T0-T1,DIST
Lotus_corniculatus,Agroscope Changins,4,0.08000000000000002,quadrat,T0-T1,DIST
Onobrychis_viciifolia,Agroscope Changins,2,-0.005,quadrat,T0-T1,DIST
Phleum_pratense,Agroscope Changins,2,0,quadrat,T0-T1,DIST
Plantago_lanceolata,Agroscope Changins,1,0.020000000000000004,quadrat,T0-T1,DIST
Plantago_lanceolata,Agroscope Changins,2,0.09,quadrat,T0-T1,DIST
Plantago_lanceolata,Agroscope Changins,3,0.09000000000000001,quadrat,T0-T1,DIST
Plantago_lanceolata,Agroscope Changins,4,0.03,quadrat,T0-T1,DIST
Poa_pratensis,Agroscope Changins,1,-0.01,quadrat,T0-T1,DIST
Poa_pratensis,Agroscope Changins,2,-0.030000000000000002,quadrat,T0-T1,DIST
Poa_pratensis,Agroscope Changins,3,0,quadrat,T0-T1,DIST
Poa_pratensis,Agroscope Changins,4,0.034999999999999996,quadrat,T0-T1,DIST
Poa_trivialis,Agroscope Changins,1,-0.019999999999999997,quadrat,T0-T1,DIST
Poa_trivialis,Agroscope Changins,4,-0.03,quadrat,T0-T1,DIST
Poa_trivialis,Agroscope Changins,2,0.049999999999999996,quadrat,T0-T1,DIST
Polygonum_aviculare,Agroscope Changins,1,0.04,quadrat,T0-T1,DIST
Polygonum_aviculare,Agroscope Changins,2,0.07,quadrat,T0-T1,DIST
Polygonum_aviculare,Agroscope Changins,3,0.11,quadrat,T0-T1,DIST
Polygonum_aviculare,Agroscope Changins,4,0.14,quadrat,T0-T1,DIST
Potentilla_neumanniana,Agroscope Changins,2,0.005,quadrat,T0-T1,DIST
Potentilla_neumanniana,Agroscope Changins,3,-0.009999999999999995,quadrat,T0-T1,DIST
Potentilla_neumanniana,Agroscope Changins,4,0.009999999999999998,quadrat,T0-T1,DIST
Prunella_vulgaris,Agroscope Changins,3,0.18,quadrat,T0-T1,DIST
Ranunculus_acris,Agroscope Changins,1,0.09999999999999999,quadrat,T0-T1,DIST
Ranunculus_acris,Agroscope Changins,2,0.009999999999999995,quadrat,T0-T1,DIST
Ranunculus_acris,Agroscope Changins,3,0.12,quadrat,T0-T1,DIST
Ranunculus_acris,Agroscope Changins,4,0.13999999999999999,quadrat,T0-T1,DIST
Rumex_acetosa,Agroscope Changins,1,0.12000000000000001,quadrat,T0-T1,DIST
Rumex_acetosa,Agroscope Changins,3,0.02,quadrat,T0-T1,DIST
Rumex_acetosa,Agroscope Changins,4,0.015999999999999997,quadrat,T0-T1,DIST
Rumex_acetosa,Agroscope Changins,2,0.015,quadrat,T0-T1,DIST
Taraxacum_officinale,Agroscope Changins,1,0.01,quadrat,T0-T1,DIST
Taraxacum_officinale,Agroscope Changins,2,0,quadrat,T0-T1,DIST
Taraxacum_officinale,Agroscope Changins,4,-0.01,quadrat,T0-T1,DIST
Tragopogon_pratensis,Agroscope Changins,1,0.01,quadrat,T0-T1,DIST
Tragopogon_pratensis,Agroscope Changins,3,0,quadrat,T0-T1,DIST
Trifolium_pratense,Agroscope Changins,1,-0.019999999999999997,quadrat,T0-T1,DIST
Trifolium_pratense,Agroscope Changins,2,0.059999999999999984,quadrat,T0-T1,DIST
Trifolium_pratense,Agroscope Changins,3,-0.18999999999999995,quadrat,T0-T1,DIST
Trifolium_pratense,Agroscope Changins,4,-0.07,quadrat,T0-T1,DIST
Trifolium_repens,Agroscope Changins,2,0.005,quadrat,T0-T1,DIST
Trisetum_flavescens,Agroscope Changins,1,-0.009999999999999998,quadrat,T0-T1,DIST
Trisetum_flavescens,Agroscope Changins,3,0.009999999999999998,quadrat,T0-T1,DIST
Trisetum_flavescens,Agroscope Changins,4,0.07,quadrat,T0-T1,DIST
Trisetum_flavescens,Agroscope Changins,2,-0.01,quadrat,T0-T1,DIST
Veronica_arvensis,Agroscope Changins,4,0.001,quadrat,T0-T1,DIST
Veronica_arvensis,Agroscope Changins,1,0.001,quadrat,T0-T1,DIST
Vicia_sativa,Agroscope Changins,1,0.005,quadrat,T0-T1,DIST
Vicia_sativa,Agroscope Changins,2,-0.009999999999999998,quadrat,T0-T1,DIST
Vicia_sativa,Agroscope Changins,3,-0.01,quadrat,T0-T1,DIST
Vicia_sativa,Agroscope Changins,4,-0.024999999999999998,quadrat,T0-T1,DIST
Agrostis_stolonifera,Ainsdale Dune Slacks,1,4.99999999999997e-4,quadrat,T0-T1,DIST
Agrostis_stolonifera,Ainsdale Dune Slacks,2,-0.0145,quadrat,T0-T1,DIST
Agrostis_stolonifera,Ainsdale Dune Slacks,3,-0.004999999999999999,quadrat,T0-T1,DIST
Arrhenatherum_elatius,Ainsdale Dune Slacks,1,-0.0235,quadrat,T0-T1,DIST
Arrhenatherum_elatius,Ainsdale Dune Slacks,2,-0.008,quadrat,T0-T1,DIST
Brachythecium_rutabulum,Ainsdale Dune Slacks,1,-0.04,quadrat,T0-T1,DIST
Brachythecium_rutabulum,Ainsdale Dune Slacks,2,0,quadrat,T0-T1,DIST
Carex_flacca,Ainsdale Dune Slacks,1,0.048,quadrat,T0-T1,DIST
Carex_flacca,Ainsdale Dune Slacks,2,0.08099999999999999,quadrat,T0-T1,DIST
Carex_flacca,Ainsdale Dune Slacks,3,0.020000000000000007,quadrat,T0-T1,DIST
Carex_nigra,Ainsdale Dune Slacks,1,-0.285,quadrat,T0-T1,DIST
Carex_nigra,Ainsdale Dune Slacks,2,-0.055,quadrat,T0-T1,DIST
Carex_nigra,Ainsdale Dune Slacks,3,0.11,quadrat,T0-T1,DIST
Centaurium_littorale,Ainsdale Dune Slacks,1,0.01,quadrat,T0-T1,DIST
Cirsium_arvense,Ainsdale Dune Slacks,1,0.01,quadrat,T0-T1,DIST
Cirsium_palustre,Ainsdale Dune Slacks,1,0,quadrat,T0-T1,DIST
Cirsium_palustre,Ainsdale Dune Slacks,2,-0.07699999999999999,quadrat,T0-T1,DIST
Cirsium_palustre,Ainsdale Dune Slacks,3,0.01,quadrat,T0-T1,DIST
Dactylorhiza_incarnata,Ainsdale Dune Slacks,3,-0.01,quadrat,T0-T1,DIST
Epilobium_palustre,Ainsdale Dune Slacks,1,0.005,quadrat,T0-T1,DIST
Epilobium_palustre,Ainsdale Dune Slacks,3,-0.01,quadrat,T0-T1,DIST
Epilobium_parviflorum,Ainsdale Dune Slacks,1,0.03,quadrat,T0-T1,DIST
Epipactis_palustris,Ainsdale Dune Slacks,1,-0.3,quadrat,T0-T1,DIST
