"","site_name","New_taxon","taxon_site","year_trt","trt","max_cover","block","new_max_cover"
"1","Agroscope Changins","Achillea_millefolium","Achillea_millefolium_Agroscope Changins","0","Control",8,1,0.08
"2","Agroscope Changins","Achillea_millefolium","Achillea_millefolium_Agroscope Changins","0","Control",8,2,0.08
"3","Agroscope Changins","Achillea_millefolium","Achillea_millefolium_Agroscope Changins","0","Control",13,3,0.13
"4","Agroscope Changins","Achillea_millefolium","Achillea_millefolium_Agroscope Changins","0","Control",5,4,0.05
"5","Agroscope Changins","Achillea_millefolium","Achillea_millefolium_Agroscope Changins","0","Disturbance",10,1,0.1
"6","Agroscope Changins","Achillea_millefolium","Achillea_millefolium_Agroscope Changins","0","Disturbance",9,2,0.09
"7","Agroscope Changins","Achillea_millefolium","Achillea_millefolium_Agroscope Changins","0","Disturbance",8,3,0.08
"8","Agroscope Changins","Achillea_millefolium","Achillea_millefolium_Agroscope Changins","0","Disturbance",8,4,0.08
"9","Agroscope Changins","Achillea_millefolium","Achillea_millefolium_Agroscope Changins","0","NPK",8,1,0.08
"10","Agroscope Changins","Achillea_millefolium","Achillea_millefolium_Agroscope Changins","0","NPK",7,2,0.07
"11","Agroscope Changins","Achillea_millefolium","Achillea_millefolium_Agroscope Changins","0","NPK",10,3,0.1
"12","Agroscope Changins","Achillea_millefolium","Achillea_millefolium_Agroscope Changins","0","NPK",9,4,0.09
"13","Agroscope Changins","Achillea_millefolium","Achillea_millefolium_Agroscope Changins","0","NPK+Disturbance",9,1,0.09
"14","Agroscope Changins","Achillea_millefolium","Achillea_millefolium_Agroscope Changins","0","NPK+Disturbance",12,2,0.12
"15","Agroscope Changins","Achillea_millefolium","Achillea_millefolium_Agroscope Changins","0","NPK+Disturbance",10,3,0.1
"16","Agroscope Changins","Achillea_millefolium","Achillea_millefolium_Agroscope Changins","0","NPK+Disturbance",5,4,0.05
"17","Agroscope Changins","Achillea_millefolium","Achillea_millefolium_Agroscope Changins","1","Control",6,1,0.06
"18","Agroscope Changins","Achillea_millefolium","Achillea_millefolium_Agroscope Changins","1","Control",11,2,0.11
"19","Agroscope Changins","Achillea_millefolium","Achillea_millefolium_Agroscope Changins","1","Control",14,3,0.14
"20","Agroscope Changins","Achillea_millefolium","Achillea_millefolium_Agroscope Changins","1","Control",10,4,0.1
"21","Agroscope Changins","Achillea_millefolium","Achillea_millefolium_Agroscope Changins","1","Disturbance",7,1,0.07
"22","Agroscope Changins","Achillea_millefolium","Achillea_millefolium_Agroscope Changins","1","Disturbance",6,2,0.06
"23","Agroscope Changins","Achillea_millefolium","Achillea_millefolium_Agroscope Changins","1","Disturbance",9,3,0.09
"24","Agroscope Changins","Achillea_millefolium","Achillea_millefolium_Agroscope Changins","1","Disturbance",10,4,0.1
"25","Agroscope Changins","Achillea_millefolium","Achillea_millefolium_Agroscope Changins","1","NPK",5,1,0.05
"26","Agroscope Changins","Achillea_millefolium","Achillea_millefolium_Agroscope Changins","1","NPK",6,2,0.06
"27","Agroscope Changins","Achillea_millefolium","Achillea_millefolium_Agroscope Changins","1","NPK",18,3,0.18
"28","Agroscope Changins","Achillea_millefolium","Achillea_millefolium_Agroscope Changins","1","NPK",19,4,0.19
"29","Agroscope Changins","Achillea_millefolium","Achillea_millefolium_Agroscope Changins","1","NPK+Disturbance",10,1,0.1
"30","Agroscope Changins","Achillea_millefolium","Achillea_millefolium_Agroscope Changins","1","NPK+Disturbance",3,2,0.03
"31","Agroscope Changins","Achillea_millefolium","Achillea_millefolium_Agroscope Changins","1","NPK+Disturbance",6,3,0.06
"32","Agroscope Changins","Achillea_millefolium","Achillea_millefolium_Agroscope Changins","1","NPK+Disturbance",8,4,0.08
"33","Agroscope Changins","Agrostis_capillaris","Agrostis_capillaris_Agroscope Changins","0","Control",15,3,0.15
"34","Agroscope Changins","Agrostis_capillaris","Agrostis_capillaris_Agroscope Changins","0","Control",2,4,0.02
"35","Agroscope Changins","Agrostis_capillaris","Agrostis_capillaris_Agroscope Changins","0","Disturbance",3,3,0.03
"36","Agroscope Changins","Agrostis_capillaris","Agrostis_capillaris_Agroscope Changins","0","Disturbance",0,4,0
"37","Agroscope Changins","Agrostis_capillaris","Agrostis_capillaris_Agroscope Changins","0","NPK",13,1,0.13
"38","Agroscope Changins","Agrostis_capillaris","Agrostis_capillaris_Agroscope Changins","0","NPK",5,2,0.05
"39","Agroscope Changins","Agrostis_capillaris","Agrostis_capillaris_Agroscope Changins","0","NPK",2,3,0.02
