group_var,effect,group,value,se,lower_2.5,upper_97.5,model,time_period,experiment
New_taxon,Intercept,Achillea_millefolium,-2.173,0.174,-2.514,-1.832,Hurdle_cond,1,DIST
New_taxon,Intercept,Agrimonia_eupatoria,-2.303,0.242,-2.778,-1.828,Hurdle_cond,1,DIST
New_taxon,Intercept,Agropyron_cristatum,-2.171,0.417,-2.988,-1.354,Hurdle_cond,1,DIST
New_taxon,Intercept,Allium_vineale,-2.673,0.379,-3.416,-1.93,Hurdle_cond,1,DIST
New_taxon,Intercept,Alternanthera_philoxeroides,-2.398,0.496,-3.371,-1.425,Hurdle_cond,1,DIST
New_taxon,Intercept,Amaranthus_retroflexus,-2.545,0.552,-3.627,-1.463,Hurdle_cond,1,DIST
New_taxon,Intercept,Andropogon_gerardii,-1.448,0.245,-1.928,-0.968,Hurdle_cond,1,DIST
New_taxon,Intercept,Anthoxanthum_odoratum,-2.26,0.176,-2.606,-1.914,Hurdle_cond,1,DIST
New_taxon,Intercept,Arenaria_serpyllifolia,-2.609,0.261,-3.121,-2.097,Hurdle_cond,1,DIST
New_taxon,Intercept,Armeria_maritima,-2.711,0.359,-3.415,-2.007,Hurdle_cond,1,DIST
New_taxon,Intercept,Bothriochloa_ischaemum,-2.649,0.38,-3.394,-1.904,Hurdle_cond,1,DIST
New_taxon,Intercept,Bromus_tectorum,-2.255,0.194,-2.636,-1.874,Hurdle_cond,1,DIST
New_taxon,Intercept,Centaurea_jacea,-2.499,0.248,-2.985,-2.013,Hurdle_cond,1,DIST
New_taxon,Intercept,Centaurea_stoebe,-1.853,0.211,-2.266,-1.44,Hurdle_cond,1,DIST
New_taxon,Intercept,Cerastium_fontanum,-2.574,0.195,-2.956,-2.192,Hurdle_cond,1,DIST
New_taxon,Intercept,Chamaecrista_fasciculata,-2.512,0.307,-3.114,-1.91,Hurdle_cond,1,DIST
New_taxon,Intercept,Cirsium_arvense,-2.053,0.19,-2.426,-1.68,Hurdle_cond,1,DIST
New_taxon,Intercept,Cirsium_palustre,-2.661,0.318,-3.284,-2.038,Hurdle_cond,1,DIST
New_taxon,Intercept,Cirsium_vulgare,-2.499,0.279,-3.045,-1.953,Hurdle_cond,1,DIST
New_taxon,Intercept,Daucus_carota,-2.434,0.211,-2.847,-2.021,Hurdle_cond,1,DIST
New_taxon,Intercept,Echinochloa_crus-galli,-1.958,0.629,-3.19,-0.726,Hurdle_cond,1,DIST
New_taxon,Intercept,Echium_vulgare,-2.628,0.405,-3.422,-1.834,Hurdle_cond,1,DIST
New_taxon,Intercept,Elymus_repens,-2.064,0.199,-2.454,-1.674,Hurdle_cond,1,DIST
New_taxon,Intercept,Erigeron_canadensis,-2.814,0.253,-3.31,-2.318,Hurdle_cond,1,DIST
New_taxon,Intercept,Erophila_verna,-2.821,0.428,-3.661,-1.981,Hurdle_cond,1,DIST
New_taxon,Intercept,Fragaria_vesca,-2.348,0.29,-2.916,-1.78,Hurdle_cond,1,DIST
New_taxon,Intercept,Heteropogon_contortus,-2.406,0.495,-3.377,-1.435,Hurdle_cond,1,DIST
New_taxon,Intercept,Hypochaeris_radicata,-2.51,0.203,-2.909,-2.111,Hurdle_cond,1,DIST
New_taxon,Intercept,Jacobaea_vulgaris,-2.546,0.298,-3.13,-1.962,Hurdle_cond,1,DIST
New_taxon,Intercept,Knautia_arvensis,-2.13,0.329,-2.775,-1.485,Hurdle_cond,1,DIST
New_taxon,Intercept,Koeleria_macrantha,-2.335,0.249,-2.822,-1.848,Hurdle_cond,1,DIST
New_taxon,Intercept,Lactuca_serriola,-2.699,0.32,-3.325,-2.073,Hurdle_cond,1,DIST
New_taxon,Intercept,Linum_catharticum,-2.727,0.359,-3.431,-2.023,Hurdle_cond,1,DIST
New_taxon,Intercept,Lotus_corniculatus,-2.364,0.184,-2.724,-2.004,Hurdle_cond,1,DIST
New_taxon,Intercept,Opuntia_macrorhiza,-2.703,0.329,-3.348,-2.058,Hurdle_cond,1,DIST
New_taxon,Intercept,Picris_hieracioides,-1.748,0.235,-2.209,-1.287,Hurdle_cond,1,DIST
New_taxon,Intercept,Pimpinella_saxifraga,-2.414,0.318,-3.037,-1.791,Hurdle_cond,1,DIST
New_taxon,Intercept,Pinus_palustris,-2.36,0.448,-3.238,-1.482,Hurdle_cond,1,DIST
New_taxon,Intercept,Plantago_coronopus,-2.374,0.259,-2.883,-1.865,Hurdle_cond,1,DIST
New_taxon,Intercept,Plantago_media,-2.355,0.297,-2.937,-1.773,Hurdle_cond,1,DIST
New_taxon,Intercept,Poa_alpina,-2.55,0.551,-3.63,-1.47,Hurdle_cond,1,DIST
New_taxon,Intercept,Potentilla_recta,-2.519,0.256,-3.02,-2.018,Hurdle_cond,1,DIST
New_taxon,Intercept,Primula_elatior,-2.564,0.44,-3.426,-1.702,Hurdle_cond,1,DIST
New_taxon,Intercept,Primula_veris,-2.583,0.406,-3.379,-1.787,Hurdle_cond,1,DIST
New_taxon,Intercept,Prosopis_glandulosa,-2.568,0.485,-3.518,-1.618,Hurdle_cond,1,DIST
New_taxon,Intercept,Ranunculus_acris,-2.454,0.202,-2.851,-2.057,Hurdle_cond,1,DIST
New_taxon,Intercept,Ranunculus_bulbosus,-2.589,0.406,-3.385,-1.793,Hurdle_cond,1,DIST
New_taxon,Intercept,Ranunculus_repens,-2.653,0.24,-3.123,-2.183,Hurdle_cond,1,DIST
New_taxon,Intercept,Ratibida_columnifera,-2.538,0.553,-3.622,-1.454,Hurdle_cond,1,DIST
New_taxon,Intercept,Rhinanthus_minor,-2.674,0.478,-3.611,-1.737,Hurdle_cond,1,DIST
New_taxon,Intercept,Rhus_copallinum,-2.721,0.532,-3.765,-1.677,Hurdle_cond,1,DIST
New_taxon,Intercept,Rosa_canina,-2.819,0.376,-3.557,-2.081,Hurdle_cond,1,DIST
New_taxon,Intercept,Rosa_multiflora,-2.458,0.383,-3.209,-1.707,Hurdle_cond,1,DIST
New_taxon,Intercept,Salsola_kali,-2.743,0.343,-3.415,-2.071,Hurdle_cond,1,DIST
New_taxon,Intercept,Solidago_altissima,-1.533,0.229,-1.982,-1.084,Hurdle_cond,1,DIST
New_taxon,Intercept,Spartina_alterniflora,1.652,0.24,1.182,2.122,Hurdle_cond,1,DIST
New_taxon,Intercept,Sphaeralcea_coccinea,-2.519,0.331,-3.167,-1.871,Hurdle_cond,1,DIST
New_taxon,Intercept,Stenaria_nigricans,-1.909,0.362,-2.619,-1.199,Hurdle_cond,1,DIST
New_taxon,Intercept,Taraxacum_campylodes,-2.357,0.346,-3.035,-1.679,Hurdle_cond,1,DIST
New_taxon,Intercept,Themeda_triandra,-0.682,0.259,-1.191,-0.173,Hurdle_cond,1,DIST
New_taxon,Intercept,Tragopogon_dubius,-2.718,0.343,-3.39,-2.046,Hurdle_cond,1,DIST
New_taxon,Intercept,Tragopogon_orientalis,-2.812,0.429,-3.653,-1.971,Hurdle_cond,1,DIST
New_taxon,Intercept,Tragopogon_pratensis,-2.718,0.291,-3.288,-2.148,Hurdle_cond,1,DIST
New_taxon,Intercept,Trifolium_pratense,-2.31,0.184,-2.671,-1.949,Hurdle_cond,1,DIST
New_taxon,Intercept,Verbascum_thapsus,-1.978,0.296,-2.559,-1.397,Hurdle_cond,1,DIST
New_taxon,Intercept,Veronica_arvensis,-2.823,0.234,-3.282,-2.364,Hurdle_cond,1,DIST
New_taxon,Intercept,Vincetoxicum_nigrum,-2.263,0.505,-3.253,-1.273,Hurdle_cond,1,DIST
New_taxon,Intercept,Achillea_millefolium,-1.606,0.205,-2.007,-1.205,Hurdle_zi,1,DIST
New_taxon,Intercept,Agrimonia_eupatoria,-1.736,0.265,-2.256,-1.216,Hurdle_zi,1,DIST
New_taxon,Intercept,Agropyron_cristatum,-1.604,0.43,-2.448,-0.76,Hurdle_zi,1,DIST
New_taxon,Intercept,Allium_vineale,-2.106,0.394,-2.879,-1.333,Hurdle_zi,1,DIST
New_taxon,Intercept,Alternanthera_philoxeroides,-1.831,0.508,-2.826,-0.836,Hurdle_zi,1,DIST
New_taxon,Intercept,Amaranthus_retroflexus,-1.978,0.562,-3.08,-0.876,Hurdle_zi,1,DIST
New_taxon,Intercept,Andropogon_gerardii,-0.881,0.268,-1.406,-0.356,Hurdle_zi,1,DIST
New_taxon,Intercept,Anthoxanthum_odoratum,-1.693,0.207,-2.098,-1.288,Hurdle_zi,1,DIST
New_taxon,Intercept,Arenaria_serpyllifolia,-2.042,0.283,-2.596,-1.488,Hurdle_zi,1,DIST
New_taxon,Intercept,Armeria_maritima,-2.144,0.375,-2.879,-1.409,Hurdle_zi,1,DIST
New_taxon,Intercept,Bothriochloa_ischaemum,-2.082,0.395,-2.857,-1.307,Hurdle_zi,1,DIST
New_taxon,Intercept,Bromus_tectorum,-1.688,0.222,-2.123,-1.253,Hurdle_zi,1,DIST
New_taxon,Intercept,Centaurea_jacea,-1.932,0.27,-2.462,-1.402,Hurdle_zi,1,DIST
New_taxon,Intercept,Centaurea_stoebe,-1.286,0.237,-1.75,-0.822,Hurdle_zi,1,DIST
New_taxon,Intercept,Cerastium_fontanum,-2.007,0.223,-2.444,-1.57,Hurdle_zi,1,DIST
New_taxon,Intercept,Chamaecrista_fasciculata,-1.945,0.326,-2.583,-1.307,Hurdle_zi,1,DIST
New_taxon,Intercept,Cirsium_arvense,-1.486,0.218,-1.914,-1.058,Hurdle_zi,1,DIST
New_taxon,Intercept,Cirsium_palustre,-2.094,0.335,-2.751,-1.437,Hurdle_zi,1,DIST
New_taxon,Intercept,Cirsium_vulgare,-1.932,0.299,-2.518,-1.346,Hurdle_zi,1,DIST
New_taxon,Intercept,Daucus_carota,-1.867,0.237,-2.331,-1.403,Hurdle_zi,1,DIST
New_taxon,Intercept,Echinochloa_crus-galli,-1.391,0.638,-2.641,-0.141,Hurdle_zi,1,DIST
New_taxon,Intercept,Echium_vulgare,-2.061,0.419,-2.883,-1.239,Hurdle_zi,1,DIST
New_taxon,Intercept,Elymus_repens,-1.497,0.226,-1.941,-1.053,Hurdle_zi,1,DIST
New_taxon,Intercept,Erigeron_canadensis,-2.247,0.275,-2.786,-1.708,Hurdle_zi,1,DIST
New_taxon,Intercept,Erophila_verna,-2.254,0.442,-3.12,-1.388,Hurdle_zi,1,DIST
New_taxon,Intercept,Fragaria_vesca,-1.781,0.309,-2.387,-1.175,Hurdle_zi,1,DIST
New_taxon,Intercept,Heteropogon_contortus,-1.839,0.507,-2.833,-0.845,Hurdle_zi,1,DIST
New_taxon,Intercept,Hypochaeris_radicata,-1.943,0.23,-2.394,-1.492,Hurdle_zi,1,DIST
New_taxon,Intercept,Jacobaea_vulgaris,-1.979,0.317,-2.6,-1.358,Hurdle_zi,1,DIST
New_taxon,Intercept,Knautia_arvensis,-1.563,0.346,-2.241,-0.885,Hurdle_zi,1,DIST
New_taxon,Intercept,Koeleria_macrantha,-1.768,0.271,-2.299,-1.237,Hurdle_zi,1,DIST
New_taxon,Intercept,Lactuca_serriola,-2.132,0.337,-2.793,-1.471,Hurdle_zi,1,DIST
