group_var,effect,group,value,se,lower_2.5,upper_97.5,model,time_period,experiment
taxon_site,Intercept,Abutilon_fruticosum_Ladybird Johnson Wildflower Center,-2.332,0.34,-2.999,-1.665,Hurdle_cond,1,DIST
taxon_site,Intercept,Acaena_poeppigiana_Potrok Aike,-2.812,0.335,-3.469,-2.155,Hurdle_cond,1,DIST
taxon_site,Intercept,Acalypha_angustata_Ukulinga,-2.675,0.499,-3.653,-1.697,Hurdle_cond,1,DIST
taxon_site,Intercept,Acalypha_gracilens_Izaak Walton League of America (IWLA),-2.685,0.442,-3.551,-1.819,Hurdle_cond,1,DIST
taxon_site,Intercept,Acalypha_gracilens_LSU Botanical Garden,-2.746,0.394,-3.518,-1.974,Hurdle_cond,1,DIST
taxon_site,Intercept,Acer_pseudoplatanus_Jena,-2.846,0.479,-3.784,-1.908,Hurdle_cond,1,DIST
taxon_site,Intercept,Acer_pseudoplatanus_WSL,-2.934,0.47,-3.855,-2.013,Hurdle_cond,1,DIST
taxon_site,Intercept,Achillea_asiatica_Saihanba,-3.076,0.246,-3.557,-2.595,Hurdle_cond,1,DIST
taxon_site,Intercept,Achillea_millefolium_Agroscope Changins,-1.994,0.202,-2.39,-1.598,Hurdle_cond,1,DIST
taxon_site,Intercept,Achillea_millefolium_Bad Lauchstaedt,-2.374,0.37,-3.099,-1.649,Hurdle_cond,1,DIST
taxon_site,Intercept,Achillea_millefolium_Bayreuth DRAGNet,-2.779,0.431,-3.624,-1.934,Hurdle_cond,1,DIST
taxon_site,Intercept,Achillea_millefolium_Cary IES,-2.524,0.321,-3.154,-1.894,Hurdle_cond,1,DIST
taxon_site,Intercept,Achillea_millefolium_Churning Rapids,-2.296,0.269,-2.824,-1.768,Hurdle_cond,1,DIST
taxon_site,Intercept,Achillea_millefolium_Hazelrigg,-2.595,0.447,-3.471,-1.719,Hurdle_cond,1,DIST
taxon_site,Intercept,Achillea_millefolium_Izaak Walton League of America (IWLA),-2.644,0.302,-3.236,-2.052,Hurdle_cond,1,DIST
taxon_site,Intercept,Achillea_millefolium_Jena,-0.45,0.178,-0.799,-0.101,Hurdle_cond,1,DIST
taxon_site,Intercept,Achillea_millefolium_Kellogg Biological Station (KBS),-2.892,0.386,-3.649,-2.135,Hurdle_cond,1,DIST
taxon_site,Intercept,Achillea_millefolium_Konza LTER DRAGNet,-2.708,0.338,-3.371,-2.045,Hurdle_cond,1,DIST
taxon_site,Intercept,Achillea_millefolium_Lublin,-2.613,0.339,-3.278,-1.948,Hurdle_cond,1,DIST
taxon_site,Intercept,Achillea_millefolium_Meranges,-2.56,0.285,-3.119,-2.001,Hurdle_cond,1,DIST
taxon_site,Intercept,Achillea_millefolium_Stoderzinken,-2.754,0.49,-3.714,-1.794,Hurdle_cond,1,DIST
taxon_site,Intercept,Achillea_millefolium_Wallula Gap Biological Station-North Face,-2.813,0.263,-3.329,-2.297,Hurdle_cond,1,DIST
taxon_site,Intercept,Achillea_millefolium_Wallula Gap Biological Station-South Face,-2.664,0.5,-3.644,-1.684,Hurdle_cond,1,DIST
taxon_site,Intercept,Achillea_millefolium_WSL,-2.754,0.49,-3.714,-1.794,Hurdle_cond,1,DIST
taxon_site,Intercept,Acicarpha_tribuloides_Castellanos,-2.082,0.372,-2.811,-1.353,Hurdle_cond,1,DIST
taxon_site,Intercept,Acis_trichophylla_Algaida,-2.878,0.387,-3.637,-2.119,Hurdle_cond,1,DIST
taxon_site,Intercept,Acmella_alpestris_Castellanos,-2.797,0.431,-3.642,-1.952,Hurdle_cond,1,DIST
taxon_site,Intercept,Acmella_oppositifolia_LSU Botanical Garden,-2.613,0.447,-3.489,-1.737,Hurdle_cond,1,DIST
taxon_site,Intercept,Aconitum_hemsleyanum_Saihanba,-3.07,0.33,-3.717,-2.423,Hurdle_cond,1,DIST
taxon_site,Intercept,Adenophora_capillaris_Saihanba,-2.859,0.477,-3.794,-1.924,Hurdle_cond,1,DIST
taxon_site,Intercept,Adenophora_stenanthina_Hulun Buir,-2.903,0.208,-3.31,-2.496,Hurdle_cond,1,DIST
taxon_site,Intercept,Adenophora_stricta_Hulun Buir,-2.98,0.332,-3.631,-2.329,Hurdle_cond,1,DIST
taxon_site,Intercept,Adenophora_stricta_Saihanba,-2.963,0.418,-3.782,-2.144,Hurdle_cond,1,DIST
taxon_site,Intercept,Adesmia_lotoides_Potrok Aike,-2.841,0.427,-3.678,-2.004,Hurdle_cond,1,DIST
taxon_site,Intercept,Aegilops_geniculata_Park Shaked,-2.657,0.501,-3.639,-1.675,Hurdle_cond,1,DIST
taxon_site,Intercept,Agrimonia_eupatoria_Lublin,-1.973,0.602,-3.152,-0.794,Hurdle_cond,1,DIST
taxon_site,Intercept,Agrimonia_eupatoria_Wytham Woods,-2.52,0.194,-2.9,-2.14,Hurdle_cond,1,DIST
taxon_site,Intercept,Agrimonia_pilosa_Saihanba,-2.843,0.389,-3.605,-2.081,Hurdle_cond,1,DIST
taxon_site,Intercept,Agropyron_cristatum_Hulun Buir,-2.754,0.49,-3.714,-1.794,Hurdle_cond,1,DIST
taxon_site,Intercept,Agropyron_cristatum_Millville,-2.143,0.411,-2.948,-1.338,Hurdle_cond,1,DIST
taxon_site,Intercept,Agrostis_capillaris_Agroscope Changins,-2.443,0.3,-3.032,-1.854,Hurdle_cond,1,DIST
taxon_site,Intercept,Agrostis_capillaris_Bayreuth DRAGNet,-2.688,0.396,-3.464,-1.912,Hurdle_cond,1,DIST
taxon_site,Intercept,Agrostis_capillaris_Cass,-0.67,0.147,-0.958,-0.382,Hurdle_cond,1,DIST
taxon_site,Intercept,Agrostis_capillaris_Hazelrigg,-1.075,0.197,-1.461,-0.689,Hurdle_cond,1,DIST
taxon_site,Intercept,Agrostis_capillaris_Kniezenberg,-1.865,0.246,-2.346,-1.384,Hurdle_cond,1,DIST
taxon_site,Intercept,Agrostis_capillaris_Lublin,-2.067,0.339,-2.732,-1.402,Hurdle_cond,1,DIST
taxon_site,Intercept,Agrostis_capillaris_Meranges,-1.707,0.251,-2.198,-1.216,Hurdle_cond,1,DIST
taxon_site,Intercept,Agrostis_capillaris_Nillahcootie,-1.668,0.227,-2.112,-1.224,Hurdle_cond,1,DIST
taxon_site,Intercept,Agrostis_capillaris_Wytham Woods,-2.941,0.286,-3.502,-2.38,Hurdle_cond,1,DIST
taxon_site,Intercept,Agrostis_gigantea_University of Michigan Biological Station,-2.697,0.499,-3.675,-1.719,Hurdle_cond,1,DIST
taxon_site,Intercept,Agrostis_stolonifera_Ainsdale Dune Slacks,-3.084,0.201,-3.478,-2.69,Hurdle_cond,1,DIST
taxon_site,Intercept,Agrostis_stolonifera_Hazelrigg,-2.566,0.448,-3.444,-1.688,Hurdle_cond,1,DIST
taxon_site,Intercept,Agrostis_stolonifera_Wytham Woods,-2.832,0.359,-3.536,-2.128,Hurdle_cond,1,DIST
taxon_site,Intercept,Aira_caryophyllea_Sierra Foothills REC,-2.846,0.479,-3.784,-1.908,Hurdle_cond,1,DIST
taxon_site,Intercept,Aira_elegantissima_Nillahcootie,-2.955,0.285,-3.514,-2.396,Hurdle_cond,1,DIST
taxon_site,Intercept,Ajuga_reptans_Kniezenberg,-2.836,0.427,-3.673,-1.999,Hurdle_cond,1,DIST
taxon_site,Intercept,Ajuga_reptans_WSL,-2.598,0.301,-3.189,-2.007,Hurdle_cond,1,DIST
taxon_site,Intercept,Allionia_incarnata_Mendoza,-2.773,0.487,-3.727,-1.819,Hurdle_cond,1,DIST
taxon_site,Intercept,Allium_bidentatum_Hulun Buir,-2.897,0.262,-3.411,-2.383,Hurdle_cond,1,DIST
taxon_site,Intercept,Allium_ramosum_Hulun Buir,-3.172,0.327,-3.813,-2.531,Hurdle_cond,1,DIST
taxon_site,Intercept,Allium_senescens_Hulun Buir,-2.749,0.362,-3.459,-2.039,Hurdle_cond,1,DIST
taxon_site,Intercept,Allium_tenuissimum_Hulun Buir,-3.029,0.379,-3.772,-2.286,Hurdle_cond,1,DIST
taxon_site,Intercept,Allium_tenuissimum_Saihanba,-2.859,0.477,-3.794,-1.924,Hurdle_cond,1,DIST
taxon_site,Intercept,Allium_vineale_Blandy Experimental Farm,-2.86,0.336,-3.519,-2.201,Hurdle_cond,1,DIST
taxon_site,Intercept,Alloteropsis_cimicina_Ladybird Johnson Wildflower Center,-2.754,0.49,-3.714,-1.794,Hurdle_cond,1,DIST
taxon_site,Intercept,Alopecurus_aequalis_Saihanba,-2.609,0.404,-3.401,-1.817,Hurdle_cond,1,DIST
taxon_site,Intercept,Alopecurus_pratensis_Agroscope Changins,-2.566,0.253,-3.061,-2.071,Hurdle_cond,1,DIST
taxon_site,Intercept,Alopecurus_pratensis_Bayreuth DRAGNet,-2.503,0.261,-3.014,-1.992,Hurdle_cond,1,DIST
taxon_site,Intercept,Alopecurus_pratensis_Cowichan,0.918,0.198,0.53,1.306,Hurdle_cond,1,DIST
taxon_site,Intercept,Alopecurus_pratensis_Domaninek,-2.61,0.506,-3.601,-1.619,Hurdle_cond,1,DIST
taxon_site,Intercept,Alopecurus_pratensis_Hazelrigg,-2.605,0.4,-3.389,-1.821,Hurdle_cond,1,DIST
taxon_site,Intercept,Alopecurus_pratensis_Kniezenberg,-2.606,0.511,-3.607,-1.605,Hurdle_cond,1,DIST
taxon_site,Intercept,Alternanthera_philoxeroides_Castellanos,-2.588,0.448,-3.466,-1.71,Hurdle_cond,1,DIST
taxon_site,Intercept,Amaranthus_retroflexus_Konza LTER DRAGNet,-2.754,0.49,-3.714,-1.794,Hurdle_cond,1,DIST
taxon_site,Intercept,Ambrosia_artemisiifolia_Cedar Creek LTER,-1.414,0.21,-1.825,-1.003,Hurdle_cond,1,DIST
taxon_site,Intercept,Ambrosia_artemisiifolia_Kellogg Biological Station (KBS),-2.888,0.358,-3.59,-2.186,Hurdle_cond,1,DIST
taxon_site,Intercept,Ambrosia_artemisiifolia_Oak Lake Field Station,-0.971,0.224,-1.41,-0.532,Hurdle_cond,1,DIST
taxon_site,Intercept,Ambrosia_artemisiifolia_Temple,-2.721,0.319,-3.347,-2.095,Hurdle_cond,1,DIST
taxon_site,Intercept,Ambrosia_psilostachya_Konza LTER DRAGNet,-2.698,0.3,-3.287,-2.109,Hurdle_cond,1,DIST
taxon_site,Intercept,Ambrosia_psilostachya_Ladybird Johnson Wildflower Center,-2.742,0.394,-3.514,-1.97,Hurdle_cond,1,DIST
taxon_site,Intercept,Ambrosia_psilostachya_Temple,-2.625,0.443,-3.493,-1.757,Hurdle_cond,1,DIST
taxon_site,Intercept,Ambrosia_trifida_Temple,-1.601,0.176,-1.946,-1.256,Hurdle_cond,1,DIST
taxon_site,Intercept,Amelanchier_laevis_University of Michigan Biological Station,-2.696,0.437,-3.552,-1.84,Hurdle_cond,1,DIST
taxon_site,Intercept,Ammi_majus_San Claudio,-2.697,0.499,-3.675,-1.719,Hurdle_cond,1,DIST
taxon_site,Intercept,Ampelodesmos_mauritanicus_Saihanba,-2.697,0.499,-3.675,-1.719,Hurdle_cond,1,DIST
taxon_site,Intercept,Amphiachyris_dracunculoides_Ladybird Johnson Wildflower Center,-2.763,0.273,-3.299,-2.227,Hurdle_cond,1,DIST
taxon_site,Intercept,Amphicarpum_muehlenbergianum_Archbold Biological Station,-2.664,0.5,-3.644,-1.684,Hurdle_cond,1,DIST
taxon_site,Intercept,Amsinckia_menziesii_Sierra Foothills REC,-2.713,0.237,-3.177,-2.249,Hurdle_cond,1,DIST
taxon_site,Intercept,Anacamptis_pyramidalis_Wytham Woods,-2.93,0.356,-3.628,-2.232,Hurdle_cond,1,DIST
taxon_site,Intercept,Anagallis_arvensis_Park Shaked,-2.946,0.314,-3.562,-2.33,Hurdle_cond,1,DIST
taxon_site,Intercept,Anagallis_arvensis_San Claudio,-2.959,0.385,-3.714,-2.204,Hurdle_cond,1,DIST
taxon_site,Intercept,Anagallis_arvensis_Wytham Woods,-2.777,0.489,-3.735,-1.819,Hurdle_cond,1,DIST
taxon_site,Intercept,Anaphalis_margaritacea_University of Michigan Biological Station,-1.905,0.344,-2.58,-1.23,Hurdle_cond,1,DIST
taxon_site,Intercept,Andropogon_gerardii_Kellogg Biological Station (KBS),-0.905,0.199,-1.295,-0.515,Hurdle_cond,1,DIST
taxon_site,Intercept,Andropogon_gerardii_Oak Lake Field Station,-2.754,0.49,-3.714,-1.794,Hurdle_cond,1,DIST
taxon_site,Intercept,Andropogon_gerardii_Piedmont Prairie,-2.773,0.487,-3.727,-1.819,Hurdle_cond,1,DIST
taxon_site,Intercept,Andropogon_gerardii_Temple,-2.205,0.369,-2.928,-1.482,Hurdle_cond,1,DIST
taxon_site,Intercept,Andropogon_glomeratus_Archbold Biological Station,-2.664,0.5,-3.644,-1.684,Hurdle_cond,1,DIST
taxon_site,Intercept,Andropogon_glomeratus_LSU Botanical Garden,-2.35,0.46,-3.251,-1.449,Hurdle_cond,1,DIST
taxon_site,Intercept,Andropogon_virginicus_Bladen Lakes State Forest,-2.384,0.347,-3.064,-1.704,Hurdle_cond,1,DIST
taxon_site,Intercept,Andropogon_virginicus_Hobcaw Barony,-1.266,0.253,-1.761,-0.771,Hurdle_cond,1,DIST
taxon_site,Intercept,Andropogon_virginicus_LSU Botanical Garden,-2.566,0.448,-3.444,-1.688,Hurdle_cond,1,DIST
